Month,Flights,Passengers,FreightKg,ASKM,RPKM,ATKM,RTKM,SeatFactor,LoadFactor,Punctuality,Reliability,ADU_A320_AKW,ADU_A320_AKX,ADU_A330_ALY,ADU_A330_ALZ
Month,,,,,,,,,,,,,,,
Srawan ,308.0,51120.0,393557.0,166851.0,131249.0,19857.0,13673.0,0.79,0.69,0.58,0.98,14.4,13.49,12.49,9.29
Bhadra,277.0,50623.0,500026.0,172381.0,142840.0,20629.0,15223.0,0.83,0.74,0.4,0.74,0.0,16.44,9.95,10.06
Aswin,290.0,49138.0,382147.0,153311.0,120036.0,18684.0,13182.0,0.78,0.71,0.61,0.96,10.56,13.21,9.85,13.56
Kartik,291.0,49054.0,260192.0,142321.0,115985.0,21274.0,12406.0,0.81,0.58,0.6,0.98,13.5,13.05,11.28,11.39
Mansir,318.0,51100.0,352712.0,166638.0,133519.0,20798.0,14428.0,0.8,0.69,0.54,0.99,12.49,14.02,11.21,10.8
Poush,303.0,47238.0,378899.0,161041.0,130670.0,19877.0,14185.0,0.81,0.71,0.53,0.96,14.0,12.14,11.33,10.35
Magh,252.0,40854.0,369421.0,148411.0,121886.0,19747.0,13376.0,0.82,0.68,0.68,0.95,10.06,13.9,10.56,11.16
Falgun,335.0,57455.0,359491.0,199135.0,168836.0,25452.0,18130.0,0.85,0.71,0.59,1.0,14.61,13.19,12.76,9.95
Chaitra,357.0,61056.0,354601.0,193295.0,163787.0,23899.0,17187.0,0.85,0.72,0.53,1.0,14.08,14.29,11.36,9.66
Baisakh,353.0,61309.0,373901.0,199651.0,163800.0,27392.0,17329.0,0.82,0.63,0.44,1.0,14.93,14.03,12.21,12.85
Jestha,373.0,60879.0,340933.0,202673.0,150101.0,25663.0,15871.0,0.74,0.62,0.44,1.0,12.54,15.95,12.97,12.0
