Month,Flights,Passengers,FreightKg,ASKM,RPKM,ATKM,RTKM,SeatFactor,LoadFactor,Punctuality,Reliability,ADU_A320_AKW,ADU_A320_AKX,ADU_A330_ALY,ADU_A330_ALZ
Srawan,308,51120,393557,166851,131249,19857,13673,0.79,0.69,0.58,0.98,14.4,13.49,12.49,9.29
Bhadra,277,50623,500026,172381,142840,20629,15223,0.83,0.74,0.4,0.74,0.0,16.44,9.95,10.06
Aswin,290,49138,382147,153311,120036,18684,13182,0.78,0.71,0.61,0.96,10.56,13.21,9.85,13.56
Kartik,291,49054,260192,142321,115985,21274,12406,0.81,0.58,0.6,0.98,13.5,13.05,11.28,11.39
Mansir,318,51100,352712,166638,133519,20798,14428,0.8,0.69,0.54,0.99,12.49,14.02,11.21,10.8
Poush,303,47238,378899,161041,130670,19877,14185,0.81,0.71,0.53,0.96,14.02,12.14,11.33,10.35
Magh,252,40854,369421,148411,121886,19747,13376,0.82,0.68,0.68,0.95,10.06,13.9,10.56,11.16
Falgun,335,57455,359491,199135,168836,25452,18130,0.85,0.71,0.59,1.0,14.61,13.19,12.76,9.95
Chaitra,357,61056,354601,193295,163787,23899,17187,0.85,0.72,0.53,1.0,14.08,14.29,11.36,9.66
Baisakh,353,61309,373901,199651,163800,27392,17329,0.82,0.63,0.44,1.0,14.93,14.03,12.21,12.85
Jestha,373,60879,340933,202673,150101,25663,15871,0.74,0.62,0.44,1.0,12.54,15.95,12.97,12.0
Asar,311,49321,350212,177398,134707,22305,14373,0.76,0.64,0.54,1.0,15.48,13.25,10.31,11.55
